gnis,place_name,state_code,source_url,status
1214818,"City of Pittsburgh",PA,"https://library.municode.com/pa/pittsburgh, https://pittsburghpa.gov/",not_scraped
767557,"City of Saint Louis",MO,"https://ecode360.com/LA3340, https://www.stlouis-mo.gov/",not_scraped
2403745,"City of Greensboro",NC,"https://library.municode.com/nc/greensboro, http://www.greensboro-nc.gov",incomplete_scrape
885264,"City of Jersey City",NJ,"https://library.municode.com/nj/jersey_city, https://www.jerseycitynj.gov/",not_scraped
2419025,"Municipality of Anchorage",AK,"https://library.municode.com/ak/anchorage, https://www.muni.org",incomplete_scrape
2395713,"City of Lincoln",NE,http://www.lincoln.ne.gov/,not_scraped
2411437,"City of Plano",TX,"https://library.municode.com/tx/plano, http://www.plano.gov",incomplete_scrape
2403521,"City of Durham",NC,"https://library.municode.com/nc/durham, https://durhamnc.gov/",scraped
978764,"City of Buffalo",NY,"https://ecode360.com/BU1237, http://www.buffalony.gov/",not_scraped
2409433,"City of Chandler",AZ,"https://library.municode.com/az/chandler, http://www.chandleraz.gov",incomplete_scrape
2409461,"City of Chula Vista",CA,"https://chulavista.municipal.codes/, http://www.chulavistaca.gov",not_scraped
1086537,"City of Toledo",OH,"https://codelibrary.amlegal.com/codes/toledo/latest/overview, https://toledo.oh.gov/",not_scraped
1583625,"City of Madison",WI,"https://library.municode.com/wi/madison, https://www.cityofmadison.com/",scraped
2410923,"City of Reno",NV,"https://library.municode.com/nv/reno, https://www.reno.gov",not_scraped
2394798,"City of Fort Wayne",IN,"https://codelibrary.amlegal.com/codes/ftwayne/latest/overview, https://www.cityoffortwayne.org",not_scraped
2411273,"City of North Las Vegas",NV,"https://library.municode.com/nv/north_las_vegas, https://www.cityofnorthlasvegas.com",incomplete_scrape
2410892,"City of Lubbock",TX,"https://ecode360.com/LU6396, http://www.ci.lubbock.tx.us/",not_scraped
2410117,"City of Irving",TX,"https://library.municode.com/tx/irving, https://www.cityofirving.org",not_scraped
2411626,"City of Laredo",TX,"https://library.municode.com/tx/laredo, http://www.laredotexas.gov/",not_scraped
2405771,"City of Winston-Salem",NC,"https://library.municode.com/nc/winston-salem, http://www.cityofws.org/",not_scraped
1498558,"City of Chesapeake",VA,"https://library.municode.com/va/chesapeake, https://www.cityofchesapeake.net/",not_scraped
2410596,"City of Glendale",AZ,"https://library.municode.com/az/glendale, https://www.glendaleaz.com/",incomplete_scrape
509453,Louisville,KY,http://www.louisvilleky.gov/,not_scraped
2404963,"City of Louisville",KY,http://www.louisvilleky.gov/,not_scraped
2410572,"City of Garland",TX,"https://ecode360.com/GA6318, https://www.garlandtx.gov/",not_scraped
2411845,"City of Scottsdale",AZ,"https://library.municode.com/az/scottsdale, https://www.scottsdaleaz.gov/",incomplete_scrape
1498557,"City of Norfolk",VA,"https://library.municode.com/va/norfolk, http://www.norfolk.gov",scraped
400590,Boise,ID,"https://codelibrary.amlegal.com/codes/boise_id/latest/overview, http://www.cityofboise.org/",not_scraped
2410545,"City of Fremont",CA,"https://www.codepublishing.com/CA/Fremont/, http://www.ci.fremont.ca.us",not_scraped
